Time:1000Hz,Epoch,Channel 1,Channel 2,Event Id,Event Date,Event Duration
0.489,489,-30644.57,8445.88,,,
0.49,490,-30626.48,8463.97,,,
0.491,491,-30603.08,8486.77,,,
0.492,492,-30579.72,8510.13,,,
0.493,493,-30562.13,8529.31,,,
0.494,494,-30554.5,8540.44,,,
0.495,495,-30557.99,8541.64,,,
0.496,496,-30570.54,8533.58,,,
0.497,497,-30587.9,8519,,,
0.498,498,-30605.4,8501.69,,,
0.499,499,-30619.55,8485.18,,,
0.5,500,-30628.91,8471.91,,,
0.501,501,-30633.77,8462.87,,,
0.502,502,-30635.26,8457.99,,,
0.503,503,-30634.18,8456.71,,,
0.504,504,-30630.52,8458.48,,,
0.505,505,-30623.69,8462.98,,,
0.506,506,-30613.25,8469.92,,,
0.507,507,-30599.74,8478.78,,,
0.508,508,-30584.96,8488.58,,,
0.509,509,-30571.54,8498.03,,,
0.51,510,-30562.08,8505.74,,,
0.511,511,-30558.22,8510.59,,,
0.512,512,-30560.15,8511.94,,,
0.513,513,-30566.82,8509.58,,,
0.514,514,-30576.56,8503.64,,,
0.515,515,-30587.78,8494.5,,,
0.516,516,-30599.4,8482.85,,,
0.517,517,-30610.79,8469.83,,,
0.518,518,-30621.46,8457.11,,,
0.519,519,-30630.65,8446.78,,,
0.52,520,-30637.22,8440.87,,,
0.521,521,-30639.92,8440.79,,,
0.522,522,-30637.78,8446.88,,,
0.523,523,-30630.52,8458.26,,,
0.524,524,-30618.78,8473.16,,,
0.525,525,-30603.95,8489.38,,,
0.526,526,-30588.01,8504.87,,,
0.527,527,-30573.23,8517.93,,,
0.528,528,-30561.96,8527.15,,,
0.529,529,-30556.37,8531.27,,,
0.53,530,-30558.07,8529.14,,,
0.531,531,-30567.61,8520.12,,,
0.532,532,-30583.9,8504.68,,,
0.533,533,-30604.14,8484.84,,,
0.534,534,-30624.14,8464.22,,,
0.535,535,-30639.46,8447.19,,,
0.536,536,-30646.7,8437.63,,,
0.537,537,-30644.62,8437.48,,,
0.538,538,-30634.52,8446.11,,,
0.539,539,-30619.61,8460.51,,,
0.54,540,-30603.67,8476.58,,,
0.541,541,-30589.68,8490.68,,,
0.542,542,-30578.96,8500.86,,,
0.543,543,-30571.34,8507.11,,,
0.544,544,-30566.05,8510.67,,,
0.545,545,-30562.84,8512.73,,,
0.546,546,-30562.55,8513.53,,,
0.547,547,-30566.76,8512.08,,,
0.548,548,-30576.7,8506.97,,,
0.549,549,-30592,8497.53,,,
0.55,550,-30610.14,8484.8,,,
0.551,551,-30626.99,8471.5,,,
